Index,Account Id,Lead Owner,First Name,Last Name,Company,Phone 1,Phone 2,Email 1,Email 2,Website,Source,Deal Stage,Notes
1,c4MRDp04cc,John Ingram,Shawna,Stout,Benjamin Ltd,+1-871-382-9638x57713,940.319.9837x26179,chelsey09@peck-young.org,randy54@miller.info,http://joyce-hutchinson.com/,Trade Show,On Hold,Heart road up.
2,c4MRDp04cc,John Ingram,Shawna,Stout,Benjamin Ltd,940.319.9837x26179,+1-871-382-9638x57713,chelsey09@peck-young.org,randy54@miller.info,https://joyce-hutchinson.com/,Trade Show,On Hold,Account training walk pretty indicate movie total.
3,EEVPlZbt9h,Jackie Prince,Ethan,Lopez,Oconnell-Lawson,711-677-2361,2332424061,jocelynmayo@boyle-vance.com,fmejia@mclaughlin.com,https://fletcher.biz/,Networking Event,Qualified,Concern magazine wonder responsibility be.
4,oJkXGu4hau,Jenny Wiley,Leonard,Khan,"Hinton, Hodge and Ryan",001-592-456-8351x1251,001-368-798-5585x4935,alex71@boyd-miles.net,pachecolee@davies-stein.biz,https://goodwin-carey.com/,Website Form,Closed Lost,Choose official throw easy billion quickly.
5,EEVPlZbt9h,Jackie Prince,Ethan,L.,Oconnell-Lawson,2332424061,711-677-2361,fmejia@mclaughlin.com,jocelynmayo@boyle-vance.com,https://fletcher.biz/,Networking Event,Qualified,Concern magazine wonder responsibility be.
6,zy6AyX5XQq,Bianca Stein,Chelsey,Rogers,Davila-Mills,+1-418-712-4132,324.775.2089,dawnherrera@mckay-bernard.biz,gregg60@fuentes.com,http://ponce.com/,Purchased List,Disqualified,Floor agree pull goal which then crime.
7,lyBJrtcrPj,Derrick Charles,Frederick,Miller,"Watson, Nixon and Aguirre",926.838.2155x6142,001-766-278-2756x6974,pottsjermaine@hess.org,meghanhunt@potts-eaton.com,http://fletcher-bolton.com/,Organic Search (SEO),Disqualified,Gun forward certainly character past enough look.
8,ZltxwLqyFD,Kristin Giles,Gail,Byrd,Golden-Stout,(896)677-9685,485-632-6257,odunlap@vazquez.biz,vazquezshannon@burnett-osborne.org,https://www.holt.com/,Podcast,Closed Won,Wait politics name that fact.
9,oJkXGu4hau,Jenny Wiley,Leonard,K.,"Hinton, Hodge and Ryan",001-368-798-5585x4935,001-592-456-8351x1251,pachecolee@davies-stein.biz,alex71+smallisaac@boyd-miles.net,https://goodwin-carey.com/,Website Form,Closed Lost,Choose official throw easy billion quickly.
10,zy6AyX5XQq,Bianca Stein,Chelsey,Rogers,Davila-Mills,324.775.2089,+1-418-712-4132,dawnherrera@mckay-bernard.biz,gregg60@fuentes.com,http://ponce.com/,Purchased List,Disqualified,Involve nor system very rise worker certainly.
11,WB2COBugk9,Rhonda Strickland,Russell,Guzman,Arellano-Mcneil,242-401-7765,(748)614-0726,mcdanielcraig@hamilton-morris.com,jamesdoris@booker.com,http://www.moses-acosta.com/,LinkedIn Outreach,Qualified,Ball station subject plan activity.
12,AAxbUW6d6h,Jack Durham,Meredith,Camacho,French PLC,243-852-3880x40144,705.366.8011,robertcisneros@russo-le.net,webermariah@jenkins.info,http://crane.info/,Podcast,Negotiation,Buy message agreement structure.
13,Mbn40kPQJu,Olivia Walters,Damon,Underwood,Cline-Macdonald,7063137068,(756)234-2660x2335,perezbrandon@camacho-medina.com,connerkirsten@barnett.info,http://www.chambers.com/,Google Ads,New Lead,Really someone public ok.
